ID;TITLE;AUTHOR;TYPE;LOCATION;DATE;ABSLINK;FORMLINK;AXIS;PAPERLINK
A018;Modeling and simulation of continuous thermal processing of non-newtonian liquid foods in a unit for continuous flow pasteurization;Tamires Kawahara Oishi;Oral;A definir;Local;https://goo.gl/kfgZ23;https://goo.gl/SnBC9G;Modelagem e Simulação de Processos;a
A019;A methodology for generating datasets for development of anomaly detectors in oil wells based on Artificial Intelligence techniques;Ricardo Emanuel Vaz Vargas;Oral;A definir;Local;https://goo.gl/n7iy2b;https://goo.gl/XwkhK6;Detecção e Diagnóstico de Falhas;a
A020;Modeling and Simulation of an Enzymatic Degradation Process with Peroxidase Mechanism;Alexandre Santuchi da Cunha;Oral;A definir;Local;https://goo.gl/TbnzAS;https://goo.gl/bXzgok;Modelagem e Simulação de Processos;a
A021;Piping design software improves integration and enables faster and more cost-effective decision making during the design phase;Anna Amélia Paula Gomes de Oliveira Ambrósio;Oral;A definir;Local;https://goo.gl/6z1RaV;https://goo.gl/ATpYt3;Síntese e Projeto de Processos;a
A022;Technical Evaluation of Methanol Production Through CO2 Hydrogenation in the Brazilian Market;Gabriel Libório Princhak;Oral;A definir;Local;https://goo.gl/tsyDYD;https://goo.gl/tkUgVm;Modelagem e Simulação de Processos;a
A023;Process simulation and life cycle analysis of a continuous soybean biodiesel process;Paula Ciribeli Gonçalves;Pôster;A definir;Local;https://goo.gl/u4duM1;https://goo.gl/C45k6i;Otimização de Processos;a
A024;Tuning of a cooperative-distributed model predictive controller: towards stability and performance;Daniel Diniz Santana;Oral;A definir;Local;https://goo.gl/TfP59T;https://goo.gl/r53swv;Controle e Instrumentação de Processos;a
A025;Predict sheet-break in a pulp and paper mill with machine learning and data analysis;Flavio Waltz;Oral;A definir;Local;https://goo.gl/nHVfjS;https://goo.gl/k5ZeYM;Detecção e Diagnóstico de Falhas;a
A026;Model Proposals to Describe the Dynamic Behavior of Hot-bypass Pressure Control for Distillation Columns;Cláudia Daniela Melo Giaquinto;Oral;A definir;Local;https://goo.gl/U9PaFF;https://goo.gl/Us4vjH;Modelagem e Simulação de Processos;a
A027;Development of a dynamic model and simulation to pressure control to offshore water injection system aiming anomaly trend analysis;Ninoska Bojorge;Oral;A definir;Local;https://goo.gl/drgqYa;https://goo.gl/XLATL1;Controle e Instrumentação de Processos;a
